meta_prompt,obj1,obj2,obj3,obj4,color1,color2,color3,color4,synthetic_prompt
a red banana and a green chair.,banana,chair,,,red,green,,,
a yellow chair and a blue cat.,chair,cat,,,yellow,blue,,,
a green horse and a blue chair.,horse,chair,,,green,blue,,,
a blue cat and a orange chair.,cat,chair,,,blue,orange,,,
a red cat and a yellow banana.,cat,banana,,,red,yellow,,,
a blue horse and a red cat.,horse,cat,,,blue,red,,,
a blue cat and a red airplane.,cat,airplane,,,blue,red,,,
a orange dog and a green cat.,dog,cat,,,orange,green,,,
a yellow banana and a orange car.,banana,car,,,yellow,orange,,,
a red banana and a green cat.,banana,cat,,,red,green,,,
a green banana and a yellow chair.,banana,chair,,,green,yellow,,,
a blue airplane and a red cat.,airplane,cat,,,blue,red,,,
a blue chair and a orange airplane.,chair,airplane,,,blue,orange,,,
a yellow chair and a orange airplane.,chair,airplane,,,yellow,orange,,,
a blue dog and a green person.,dog,person,,,blue,green,,,
a green chair and a red horse.,chair,horse,,,green,red,,,
a blue dog and a yellow airplane.,dog,airplane,,,blue,yellow,,,
a orange airplane and a green person.,airplane,person,,,orange,green,,,
a yellow dog and a red horse.,dog,horse,,,yellow,red,,,
a red airplane and a green dog.,airplane,dog,,,red,green,,,
a orange car and a blue chair.,car,chair,,,orange,blue,,,
a red chair and a yellow dog.,chair,dog,,,red,yellow,,,
a green airplane and a orange person.,airplane,person,,,green,orange,,,
a red chair and a blue car.,chair,car,,,red,blue,,,
a orange horse and a yellow banana.,horse,banana,,,orange,yellow,,,
a green dog and a red person.,dog,person,,,green,red,,,
a red chair and a yellow car.,chair,car,,,red,yellow,,,
a yellow airplane and a blue horse.,airplane,horse,,,yellow,blue,,,
a yellow horse and a orange car.,horse,car,,,yellow,orange,,,
a blue airplane and a green chair.,airplane,chair,,,blue,green,,,
a green car and a blue chair.,car,chair,,,green,blue,,,
a red cat and a blue dog.,cat,dog,,,red,blue,,,
a yellow chair and a orange banana.,chair,banana,,,yellow,orange,,,
